time_s,flow_m3_s,pressure_Pa
3.902076415283057820e-01,1.204507953380369267e-06,2.698483154209082713e+05
3.909727545509102953e-01,3.954812038377791269e-07,2.698471465965213138e+05
3.917378675735148086e-01,-3.877834127016247976e-07,2.698459835180600057e+05
3.925029805961193219e-01,-1.145434932231373989e-06,2.698448273807289661e+05
3.932680936187238352e-01,-1.877622390745007976e-06,2.698436793005565414e+05
3.940332066413283485e-01,-2.584494824236054801e-06,2.698425403143946896e+05
3.947983196639328618e-01,-3.266201268698056056e-06,2.698414113799191546e+05
3.955634326865373751e-01,-3.922890760124539785e-06,2.698402933756293496e+05
3.963285457091418884e-01,-4.554712334509042074e-06,2.698391871008484741e+05
3.970936587317464017e-01,-5.161815027845104095e-06,2.698380932757232804e+05
3.978587717543509150e-01,-5.744347876126251771e-06,2.698370125412242487e+05
3.986238847769554283e-01,-6.302459915346022884e-06,2.698359454591455869e+05
3.993889977995599416e-01,-6.836300181497956911e-06,2.698348925121052889e+05
4.001541108221644549e-01,-7.346017710575578928e-06,2.698338541035449016e+05
4.009192238447689682e-01,-7.831761538572435188e-06,2.698328305577296414e+05
4.016843368673734815e-01,-8.293680701482049922e-06,2.698318221197486273e+05
4.024494498899779948e-01,-8.731924235297960910e-06,2.698308289555144147e+05
4.032145629125825081e-01,-9.146641176013709323e-06,2.698298511517634615e+05
4.039796759351870215e-01,-9.537980559622821086e-06,2.698288871068785666e+05
4.047447889577915348e-01,-9.906091422118828898e-06,2.698279358258603606e+05
4.055099019803960481e-01,-1.025112279949528240e-05,2.698269988785099122e+05
4.062750150030005614e-01,-1.057322685212299876e-05,2.698260774436125066e+05
4.070401280256050747e-01,-1.087280379993062093e-05,2.698251693929987960e+05
4.078052410482095880e-01,-1.115067795901700504e-05,2.698242745669264696e+05
4.085703540708141013e-01,-1.140771518354066767e-05,2.698233937703706906e+05
4.093354670934190587e-01,-1.164478132766024737e-05,2.698225276149164420e+05
4.101005801160235720e-01,-1.186274224553398628e-05,2.698216765187585261e+05
4.108656931386280853e-01,-1.206246379132053989e-05,2.698208407067012158e+05
4.116308061612325986e-01,-1.224481181917841971e-05,2.698200202101587201e+05
4.123959191838371119e-01,-1.241065218326613892e-05,2.698192148671548348e+05
4.131610322064416252e-01,-1.256085073774221072e-05,2.698184243223231169e+05
